id,compendium_no,compendium_no_dlc_2,compendium_no_master_mode,compendium_no_master_mode_dlc_2,name,creature_type,recoverable_materials,description
1,1,1,1,1,Horse,mammal,,"These can be most often be found on plains. Their usefulness as transportation has made them valuable since ancient times. That said, wild horses do tend to get spooked and run off when approached, so if you're looking to snag one, it's best to sneak up on it."
2,2,2,2,2,Giant Horse,mammal,,"This giant horse is the last of its kind. Its physical capabilities completely overshadow those of regular horses, but its temperament is extremely wild. Only a truly skilled rider can train, or even catch, this beast of a mount."
3,3,3,3,3,White Horse,mammal,,The Hyrulean royal family that perished 100 years ago would sometimes ride atop white horses as a display of their divine right. This white horse may be a descendant of one once ridden by royalty.
4,4,4,4,4,Lord of the Mountain,mammal,,"This noble creature watches over all animals that make their homes in the forest. Legends say this holy creature is a reincarnation of a sage that died on the lands it now protects. It has an acute awareness of its surroundings, so it seldom appears before people. It's sometimes known by its other name, Satori."
5,5,5,5,5,Stalhorse,mammal,,"This skeletal horse is ridden by monsters. It was once a regular horse, but Ganon's power revived it from death. It cannot maintain its bone structure in the daytime."
6,6,6,6,6,Donkey,mammal,,"Smaller than horses, these are raised as livestock in the countryside, so they don't exist in the wild. They're more powerful than they look and specialize in transporting baggage. This has made them popular with traveling merchants."
7,7,7,7,7,Sand Seal,mammal,,"These seals use their large flippers to move through the sand as if swimming. They were once wild animals but have since been domesticated by the Gerudo. They rely on their excellent hearing to find their way while submerged in the sand. Their large, distinct tusks look pretty ferocious, but their favorite food is actually fruit."
8,8,8,8,8,Patricia,mammal,,"This is Riju's own sand seal. It may look intense, but she dotes on it regularly; the ribbon it wears was a gift from her, and it even has its own pen in Gerudo Town. It's far more agile than any other sand seal and far more outgoing. An ever-reliable partner to Riju, Patricia is always ready to take off through the desert at a moment's notice."
9,9,9,9,9,Bushy-Tailed Squirrel,mammal,{72},These small creatures are known for their large tails. They tend to live in forests and subsist on acorns and other nuts. They carry food in their mouths but will sometimes drop it when surprised in an adorable display of shock.
10,10,10,10,10,Woodland Boar,mammal,{127},"These medium-sized beasts can be found all throughout Hyrule. You can most often find them foraging for food in forests or meadows. Although usually docile, they won't hesitate to charge you full force if you get too close."
11,11,11,11,11,Red-Tusked Boar,mammal,{128},These boars are known for their red tusks and black fur. They're similar to your average boars but are considerably stronger. Extra caution is advised when hunting these.
12,12,12,12,12,Mountain Goat,mammal,{127},"These herbivores make their home in meadows and rocky areas. Their characteristically strong legs and hooves facilitate easy climbing over rocks. Goats aren't very quick, so they make good targets for beginning hunters."
13,13,13,13,13,White Goat,mammal,,"These goats are raised for their multiple uses. Their milk can be drank or made into butter, and their soft fur is used to make clothes. Domesticated goats wear bells around their necks so they can easily be found after being let out to graze."
14,14,14,14,14,Mountain Buck,mammal,{128},"These male deer are usually found deep in the forest. They're well known for their huge, branching antlers, which they'll swing in self-defense if threatened. Deer are cautious by nature so it can be tricky getting close, but if you can capture one, you may be able to take if for a ride."
15,15,15,15,15,Mountain Doe,mammal,{128},"These female deer are often found alongside a male. They're very timid animals by nature, but they tend to let their guard down when eating apples, a favorite food. This tidbit of information can be useful to hunters."
16,16,16,16,16,Water Buffalo,mammal,"{126,128}","These wild cows come equipped with big, strong horns. They live off grass that grows near the waterfront. Their meat is considered to be high quality, so they're a common target among hunters. Fun fact: the domesticated Hateno cow, often raised in villages, was bred through selective breeding using these."
17,17,17,17,17,Hateno Cow,mammal,,"Originating in Hateno Village, these cow are kept as livestock primarily fo their milk. Their horns are smaller than a water buffalo's, and they're much more docile and therefore easier to raise. Their horns are decorated with bright colors when taken out to pasture."
18,18,18,18,18,Highland Sheep,mammal,,"Originally native to the mountainous regions, these sheep were domesticated for their wool and have since found a home in villages. Once the fluffy wool grows out, it's harvested and used to make clothing and bedding. They're calm, timid creatures and move about in small herds."
19,19,19,19,19,Grassland Fox,mammal,{127},"This breed of fox is common to grasslands and forests and is hallmarked by its fluffy, white-tipped tail. Unlike other foxes, they tend to act independently rather than form packs. Being omnivores, they hunt animals smaller than themselves and often stick to eating fruit and insects."
20,20,20,20,20,Snowcoat Fox,mammal,"{126,128}","This particular breed of grassland fox makes its home in cold climates such as the Tabantha region. Its fur turned white as a means of adapting to snowy weather, serving as a natural camouflage. Because of this, spotting one in the snow takes a keen eye."
21,21,21,21,21,Maraduo Wolf,mammal,"{126,128}","These wolves are not only carnivorous but can also be downright fierce. They're highly aggressive and aren't afraid to attack people. They hunt in groups and surround their prey as a means of bringing it down. That said, if one of their own is injured, the rest are wise enough to run away. They communicate via howls, so if you're wandering the forest and hear their call, you had best take care."
22,22,22,22,22,Wasteland Coyote,mammal,"{126,128}","This contentious beast is native to the Gerudo region. It makes its home in the desert, so it doesn't have a problem with hot, arid climates. They do hunt other beasts and small animals but more often turn their sights on people. They're a threat to anyone traveling through the desert."
23,23,23,23,23,Cold-Footed Wolf,mammal,"{126,128}","This breed of maraudo wolf lives in snowy, mountainous areas, such as the Hebra Mountains. They travel in packs similar to their maraudo relatives but are considerably tougher thanks to having adapted to their harsh environment. They're made even more dangerous by their white fur, which provides a natural camouflage in the snow."
24,24,24,24,24,Tabantha Moose,mammal,"{126,128}","The largest breed of deer in Hyrule, this mammal's origin was traced back to the Tabantha region. It's easily distinguished by its immense antlers, which these moose shed and regrow yearly. Their meat is tender and high quality, so it works well in a stew."
25,25,25,25,25,Great-Horned Rhinoceros,mammal,"{126,128}","This animal's horn is a whopping half the size of its body. Although originally members of arid-region rhinoceroses, these migrated to colder climates and adapted to live in snowy mountains. Their hides are particularly thick, and their horns can cause some serious damage, so only experienced hunters should track these,"
26,26,26,26,26,Honeyvore Bear,mammal,"{126,128}","This king among animals is dangerous game for even the most seasoned hunters. They'll attack anyone who wanders into their territory regardless of the wanderer's weaponry. As their name implies, they have a natural love of honey. Extreme caution is advised when you spot one, but if you're sneaky enough and maybe just a little bit crazy... you just may be able to ride one."
27,27,27,27,27,Grizzlemaw Bear,mammal,"{4,126,128}","This breed of honeyvore bear is distinguished by its gray fur. Even more ferocious than their relatives, they're commonly believed to be the most dangerous wild animal. They live in deep snow away from villages, so it's uncommon to encounter one. That said, if you do fine one, you'd be better off not picking a fight with it."
28,28,28,28,28,Hylian Retriever,mammal,,"The native breed of this mammal varies by region, but one thing remains true: this animal has been known as ""man's best friend"" since ancient times. They're very clever and obedient, so aside from serving as pets, they are also put to work watching over grazing livestock. It's said that all Hylian retrievers are descendants of the dog once owned by the king of Hyrule."
29,29,29,29,29,Blupee,mammal,"{149,150,151,152}","They may look like mere rabbits at a fleeting glance, but these strange and aptly names creatures glow with a mysterious blue light. While the details of their origins are entirely unknown, there is one thing we do know: these peculiar little things have a penchant for collecting rupees."
30,30,30,30,30,Common Sparrow,bird,{83},"As the name suggests, these birds are rather common around Hyrule. They mainly live in plains or forests but sometimes venture out to villages. Their diet consists of nuts and small insects. They look pretty cute when they jump around, but they don't have much love for people."
31,31,31,31,31,Red Sparrow,bird,{83},These small birds live in the Hebra region and eat mainly nuts and wild plants. Their bright-red feathers are often used as decorations.
32,32,32,32,32,Blue Sparrow,bird,{83},"This breed of sparrow is most often seen in the Lanayru region. They get most of their food from leaves and plants that grow near water. If it's safe enough, they can be spotted bathing in puddles or shallow rivers."
33,33,33,33,33,Rainbow Sparrow,bird,{83},"These small birds hail from the Faron region. As the name suggests, their feathers are more colorful than other sparrows', which has made them a favorite among dilettantes. They feed on small rain-forest insects, but the omnivore in them loves nuts as well."
34,34,34,34,34,Sand Sparrow,bird,{83},"This desert-dwelling breed of sparrow has adapted to withstand the heat in the arid climate of the Gerudo region. Sometimes they can be spotted half-buried in the sand, holding perfectly still as a means of evading predators."
35,35,35,35,35,Golden Sparrow,bird,{83},"This breed of sparrow is native to the Eldin region. Their down is resistant to burning, an evolutionary trait produced by the harsh volcanic environment. They subsist on small insects that hide inside rocks."
36,36,36,36,36,Wood Pigeon,bird,{125},"These pigeons inhabit vast regions all throughout Hyrule, so they can often be found in forests, grasslands, or even villages. They don't have a very strong sense of awareness, so even less-skilled hunters can nab them pretty easily."
37,37,37,37,37,Rainbow Pigeon,bird,{124},This breed of pigeon is well known for its vivid feathers. They live mainly in the northern forests and grasslands in Hyrule. They're most fond of nuts and grain but won't pass up the occasional insect or earthworm if offered. Their meat is of a higher quality than a typical wood pigeon's.
38,38,38,38,38,Hotfeather Pigeon,bird,{124},"This rare breed of pigeon lives near Death Mountain. Their fireproof feathers are valuable as clothing material. Their meat, on the other hand, is not fireproof, and it'll burn up as soon as it's struck."
39,39,39,39,39,White Pigeon,bird,"{124,129}","This white-feathered breed of pigeon lives in the Hebra region. It's said that a wood pigeon survived atop a snowy mountain by changing its feathers to blend in with the snow and soon after became a white pigeon. They have an extra layer of fat to guard against the cold, so they have been known to yield high-quality meat."
40,40,40,40,40,Mountain Crow,bird,{125},"This bird is known for its cleverness and for its distinct claws. They make their homes in mountains, forests, and villages alike. Not only are their jet-black feathers seen as an ill omen, but they'll steal the crops right out of a farmer's hands if given the chance. Because of this, they're often met with enmity."
41,41,41,41,41,Bright-Chested Duck,bird,{125},"These birds can be found on waterfronts all over Hyrule. Their webbed feet make them excellent swimmers, and their long necks allow them to duck their heads underwater to find food. Their fatty meat is high quality."
42,42,42,42,42,Blue-Winged Heron,bird,{125},These birds live on waterfronts all throughout Hyrule. Their characteristically thin legs and long necks help them catch water-dwelling fish or frogs for food. They lie perfectly still in wait for their prey and then stretch out their long necks to capture their meat.
43,43,43,43,43,Pink Heron,bird,{125},"This breed of heron is characterized by the pink tips of its feathers. Unlike its waterfront-dwelling relative the blue-winged heron, these live in grasslands or arid regions and subsist on insects that live in the grass. They can be found walking about searching for food but will fly away if they sense danger."
44,44,44,44,44,Islander Hawk,bird,{124},These carnivorous birds live in plains or highlands. They use their sharp talons and beaks to catch and eat small animals and other birds. They soar calmly through the sky and search for prey from above.
45,45,45,45,45,Seagull,bird,{125},"These birds live near the ocean. They eat mainly fish, so a flock of seagulls hovering over water is a good indication of where there are fish. Fishermen use this to their advantage when searching for a catch of their own."
46,46,46,46,46,Eldin Ostrich,bird,"{124,129}","This large bird makes its home in the volcanic region of Eldin. Their heat-resistant feathers and skin are evolutionary traits produced by the harsh environment. Their wings are too small to facilitate flight, but their long legs make them pretty speedy runners."
47,47,47,47,47,Cucco,bird,{79},"Villages often raise these birds for their eggs, but some people actually keep them as pets. They can't fly but can flap their wings mighty furiously if picked up. They're usually calm creature, but if you're persistent in you're torment of them... Well..."
48,48,48,48,48,Hyrule Bass,fish,,"An ordinary fish that can be found all over Hyrule. It can be eaten raw, but cooking it amplifies its healing benefits."
49,49,49,49,49,Hearty Bass,fish,,"This large fish lives near the shoreline. Its sizable body can store a lot of nutrients. When cooked into a dish, it will temporarily increase your maximum hearts"
50,50,50,50,50,Staminoka Bass,fish,,This Hyrule bass got to be the biggest fish by never getting caught (until now). Its long life results in a cooked dish that will restore a lot of stamina.
51,51,51,51,51,Hearty Salmon,fish,,"This fish makes its home in cold water, giving it extra layers of fat. It temporarily increases your maximum hearts when used in cooking."
52,52,52,52,52,Chillfin Trout,fish,,"This blue trout prefers cold bodies of water. Its skin contains enzymes that keep its body cool, and when cooked into a dish, it will temporarily boost your heat resistance."
53,53,53,53,53,Sizzlefin Trout,fish,,"This red trout prefers warm bodies of water. It has a special organ specifically for storing heat. When cooked into a dish, it temporarily boosts your resistance to the cold."
54,54,54,54,54,Voltfin Trout,fish,,"This trout makes its home in the freshwater lakes. Its scales have an insulating compound that, when cooked into a dish, offers resistance to electricity."
55,55,55,55,55,Stealthfin Trout,fish,,Consuming the bioluminescent compound that makes this fish glow in the dark will increase concentration. Dishes cooked with it will suppress noise when consumed.
56,56,56,56,56,Mighty Carp,fish,,This freshwater fish lives alongside its less mighty carp ilk. A compound in its liver promotes muscle growth. Dishes cooked with it will temporarily increase your attack power.
57,57,57,57,57,Armored Carp,fish,,"Calcium deposits in the scales of this ancient fish make them hard as armor. Cooking it into a dish will fortify your bones, temporarily increasing your defense."
58,58,58,58,58,Sanke Carp,fish,,This wild armored carp has been bred into a prizewinning fish. Its beautifully colored markings do not occur in nature. It offers no special effects when cooked.
59,59,59,59,59,Mighty Porgy,fish,,"This ocean-dwelling fish comes with one rude attitude. The compounds in its flesh elevate your competitive spirit when it's cooked into a dish, thus increased your attack power."
60,60,60,60,60,Armored Porgy,fish,,"This porgy's body is covered in armor-hard scales. The compounds in its scales, when cooked into a dish, fortify your bones and temporarily boost your defense."
61,61,61,61,61,Sneaky River Snail,snail,,"This large, glow-in-the-dark snail lives in fresh water. When cooked into a dish, it heightens your sense so you can move about silently."
62,62,62,62,62,Hearty Blueshell Snail,snail,,"This snail lives on sandy beaches in large numbers. Its flesh contains a high amount of stimulants, so when cooked into a dish, it will temporarily increase your maximum hearts."
63,63,63,63,63,Razorclaw Crab,crab,,"This crab is well known for its exceptionally sharp pincers. When cooked, the strength compound in its claws will increase your attack power."
64,64,64,64,64,Ironclaw Crab,crab,,"This crab's shell is particularly hard. When cooked into a dish, its fat and meat bolster the body to increase your defense."
65,65,65,65,65,Bright-Eyed Crab,crab,,"This crab appears in large numbers when it rains. One bite of its delectable meat, and you'll forget all your exhaustion. Replenishes your stamina when cooked into a dish."
66,66,66,66,66,Fairy,other,,"This fairy will fly from your pouch and heal all your wounds the moment you lose your last heart. It's easily mistaken for a firefly at first, but it glows in the daylight as well as night."
67,67,67,67,67,Winterwing Butterfly,insect,,The powdery scales of this butterfly's wings cool the air around it. Watching it flutter around snowflakes is a thing of beauty. Cook it with monster parts for a heat-resistant elixir.
68,68,68,68,68,Summerwing Butterfly,insect,,A butterfly found in the woods and plains of warm regions. Its wings absorb the warmth of the sun. Cook it with monster parts to create and elixir that makes you feel warm and fuzzy.
69,69,69,69,69,Thunderwing Butterfly,insect,,"This rare butterfly only shows itself when it rains. The organs in its body produce an insulating compound. When made into an elixir, it offers electrical resistance."
70,70,70,70,70,Smotherwing Butterfly,insect,,"This rare butterfly lives in volcanic regions. Its body contains a heat-resistance liquid, which can be turned into a topical elixir that offers resistance to flames."
71,71,71,71,71,Cold Darner,insect,,"This dragonfly prefers the cool shade of trees to the warmth of the sun. Its wings disperse heat from its body, which can be cooked into a heat-resistance elixir."
72,72,72,72,72,Warm Darner,insect,,This dragonfly has a special organ that causes it to sweat profusely. Cook it with monster parts for an elixir that will raise your core temperature so you can resist the cold.
73,73,73,73,73,Electric Darner,insect,,This rare dragonfly only appears in the rain. Its wings direct electricity away from its body. Cook it with monster parts for an electricity-resistance elixir.
74,74,74,74,74,Restless Cricket,insect,,A very energetic cricket. Cook it with monster parts to create a stamina-recovery elixir.
75,75,75,75,75,Bladed Rhino Beetle,insect,,This beetle's razor-sharp horns demand that you handle it with care. Boil the horns alongside monster parts to concoct an elixir that will raise your attack power.
76,76,76,76,76,Rugged Rhino Beetle,insect,,"This beetle's hard body resembles armor. When the shell is cooked with monster parts, the resulting elixir boosts your defense."
77,77,77,77,77,Energetic Rhino Beetle,insect,,"This valuable beetle can live up to ten years. When cooked with monster parts, its impressive vitality translates into an elixir that will greatly restore your stamina."
78,78,78,78,78,Sunset Firefly,insect,,"These fireflies glow gently in the dark. When cooked with monster parts, the compound that causes it to glow results in an elixir that will allow you to move more quietly."
79,79,79,79,79,Hot-Footed Frog,amphibian,,A quick frog that can be found hopping around near water. Cook it with monster parts to draw out its speed-boost effect.
80,80,80,80,80,Tireless Frog,amphibian,,"This rare frog only ventures out in the rain. When cooked with monster parts, the elixir it produces will temporarily increase your maximum stamina."
81,81,81,81,81,Hightail Lizard,reptile,,"A lizard found throughout Hyrule. It's a bit slow to react at time, but if given a chance to escape, it will dart off quickly. Cook it with monster parts for a speed-boosting elixir."
82,82,82,82,82,Hearty Lizard,reptile,,"This rare lizard lives deep in forest. It feed on high-nutrient foods, giving it great vitality. When used to make elixirs, they temporarily increase your maximum hearts."
83,83,83,83,83,Fireproof Lizard,reptile,,"This rare lizard can only be found in the Eldin region. Its scale have heat-resistant properties, so when cooked with monster parts, it produces a heat-resistance elixir."