id,compendium_no,compendium_no_dlc_2,compendium_no_master_mode,compendium_no_master_mode_dlc_2,name,strength,durability,locations,dropped_by,description
1,367,371,372,376,Ancient Shield,70,32,,,"This shield was made using ancient Sheikah technology. Its surface glows blue when raised in defense. Enhanced functionality allows it to deflect Guardian beams."
2,370,374,375,379,Boko Shield,3,5,,,"A Bokoblin-made shield created by attaching a handhold to any flat tree bark picked up off the ground. It's pretty shoddy, so don't expect it to last very long."
3,365,369,370,374,Daybreaker,48,60,,,This shield was cherished by the Gerudo Champion Urbosa. The gold used to make it was handpicked to ensure a design that is both lightweight and very durable.
4,372,376,377,381,Dragon Bone Shield,25,8,,,"This Boko shield is reinforced with fossilized bone. Its defensive capabilities are respectable, but its predictably slipshod craftsmanship spells low disability."
5,353,357,358,362,Emblazoned Shield,3,12,,,"This shield features a traditional design from Necluda. Its combat capabilities aren't much better than the standard wooden shield, but it found popularity for its design."
6,355,359,360,364,Fisherman's Shield,3,10,,,"Often carried by fishermen for its fish design, which represents hope for a great catch. Its light wooden structure makes it convenient to take on a boat."
7,360,364,365,369,Forest Dweller's Shield,30,18,,,"The Koroks made this shield specifically for Hylians. It's made from the finest hard wood of trees that grow only in the Korok forest, so it's sturdier than it looks."
8,363,367,368,372,Gerudo Shield,20,20,,,The design of this metal shield has changed over time to match the Gerudo's sword-and-shield fighting style. It's favored by soldiers and travelers alike.
9,376,380,381,385,Guardian Shield,18,10,,,A shield made with ancient Sheikah technology. It can deflect a Guardian Scout's beam.
10,377,381,382,386,Guardian Shield+,30,13,,,The larger version of a Guardian shield has had its output level boosted. Its defensive capabilities are comparable to those of a metal shield's.
11,378,382,383,387,Guardian Shield++,42,20,,,"The output level of this shield has been boosted to maximum. Its combat capabilities surpass those of metallic shields, and it can deflect Guardian Scout beams."
12,,,,,Hero's Shield,65,90,,30th Anniversary series Zelda amiibo,"A shield said to have been the favorite of a hero who traveled the open seas. It was apparently a family heirloom, passed down through many generations."
13,354,358,359,363,Hunter's Shield,3,10,,,"Favored by hunters for its rabbit design, which is said to bring luck on hunts. It's easy to use, but its durability leaves something to be desired."
14,350,354,355,359,Hylian Shield,90,800,,,"A shield passed down through the Hyrulean royal family, along with the legend of the hero who wielded it. Its defensive capabilities and durability outshine all other shields."
15,362,366,367,371,Kite Shield,14,16,,,Rito warriors cherish this shield. Its unique shape is designed with mid-battle flight in mind to facilitate aerial combat.
16,358,362,363,367,Knight's Shield,40,23,,,"A shield favored by the knights who served the Hyrulean royal family. Its sturdy metal construction makes it quite durable, but its weight requires decent skill to wield."
17,373,377,378,382,Lizal Shield,15,8,,,"A common shield found among the Lizalfos. It's made of metal, but its sloppy craftsmanship offers poor durability."
18,379,383,384,388,Lynel Shield,30,12,,,"A sturdy shield favored by Lynels for its defensive and offensive capabilities. First and foremost a shield, but the banded edges can deal slashing attacks when deflecting."
19,380,384,385,389,Mighty Lynel Shield,44,15,,,"This Lynel-made shield has been reinforced with armor and even more blades. Stronger in both defense and offense, it can tear through basic armor when deflecting."
20,351,355,356,360,Pot Lid,1,10,,,The lid of a large soup pot. It smells vaguely of chicken broth... Yum! It can take quite a beating before breaking.
21,364,368,369,373,Radiant Shield,35,26,,,This extravagant shield is presented to Gerudo warriors who rise up to the rank of captain. Its apparent opulence is rivaled only by its combat capabilities.
22,374,378,379,383,Reinforced Lizal Shield,22,12,,,"This Lizal shield has been strengthened by adding a different type of metal to the mix. The edge is lined with spikes, so handle with care."
23,369,373,374,378,Royal Guard's Shield,70,14,,,"This shield was forged using ancient Sheikah technology. It boasts extremely high stopping power, but its structural weakness made its low durability impractical for combat."
24,359,363,364,368,Royal Shield,55,29,,,"A shield issued to the Hyrulean royal family's immediate guard detail. It boasts a high defense, but these days it's more a collector's item due to its ornamentation."
25,368,372,373,377,Rusty Shield,3,16,,,"It's likely this rusty old shield once belonged to a knight. It still has some defensive capabilities, but its usefulness has been worn down by time."
26,381,385,386,390,Savage Lynel's Shield,62,20,,,This ultimate Lynel shield is used only by the white-haired Lynels. It excels at defending against even the most brutal of attacks and cutting down powerful fores when deflecting.
27,366,370,371,375,Shield of the Mind's Eye,16,16,,,A small Sheikah-made shield. Its design is intended to decrease blind spots without sacrificing too much defense.
28,361,365,366,370,Silver Shield,18,20,,,"A Zora-made shield adorned with intricate ornamentation. It's said that true masters of this shield can redirect attacks as a rock redirects running water."
29,357,361,362,366,Soldier's Shield,16,16,,,"A shield once used by the guards of Hyrule Castle. It's easy to handle, but its core is made of wood, so it can catch fire."
30,371,375,376,380,Spiked Boko Shield,10,7,,,A Boko shield made of slightly stronger wood. It's been reinforced with animal bones.
31,375,379,380,384,Steel Lizal Shield,35,15,,,"This Lizal shield is adorned with several metal shells as a means of reinforcement. Its defensive capabilities are high, but its weight requires a skilled soldier to bear."
32,356,360,361,365,Traveler's Shield,4,12,,,A sturdy shield loved by many an adventurer. It is made of animal hide and sturdy wood and is best suited to defending against weak monsters or animals.
33,352,356,357,361,Wooden Shield,2,12,,,"This lightweight, simple shield is ideal for less-experienced fighters. It can withstand light attacks, but blocking stronger blows is not recommended."